Order_ID,Order_Date,Product_ID,Product_Name,Category,Sub_Category,Brand,Customer_ID,Customer_City,Customer_State,Payment_Method,Order_Status,Quantity,Unit_Price,Discount_Percentage,Final_Price,Revenue,Profit,Shipping_Cost,Delivery_Time_Days,Return_Status,Customer_Rating,Seller_Name,Festival_Season,Platform_Device
OD7463269185,13-03-2025,P938491,Penguin Fiction TW11,Books,Fiction,Penguin,C9988040,Ahmedabad,Gujarat,UPI,Delivered,1,1412.24,2.8,1372.7,1372.7,500.27,12.54,4,No,4,TechZone Sellers,Regular,App
OD1608589993,12-08-2023,P716718,ITC Personal CA49,Grocery,Personal Care,ITC,C3691039,Hubballi,Karnataka,Cash on Delivery,Returned,2,1450,16,1218,2436,262.36,18.85,3,Yes,4,TechZone Sellers,Independence Day Sale,App
OD9889179164,04-08-2025,P696082,Hometown Chairs YD24,Furniture,Chairs,Hometown,C8640392,Nashik,Maharashtra,Cash on Delivery,Returned,1,54080,1.8,53106.56,53106.56,15266.56,304.77,6,Yes,1,RetailNet India,Regular,App
OD3349023671,22-10-2023,P610979,Plum Haircare ZU88,Beauty,Haircare,Plum,C2019116,Visakhapatnam,Andhra Pradesh,Debit Card,Delivered,1,5243.16,48.1,2721.2,2721.2,876.55,23.39,2,No,5,IndiaShop Direct,Diwali Sale,App
OD5006966264,22-10-2023,P925395,Mamaearth Fragrances WH63,Beauty,Fragrances,Mamaearth,C1721019,Gwalior,Madhya Pradesh,Cash on Delivery,Processing,1,5290,39,3226.9,3226.9,869.99,28.82,4,No,,EcomGuru Sellers,Diwali Sale,App
OD8856340750,11-10-2024,P173961,Van Heusen Ethnic GE29,Fashion,Ethnic Wear,Van Heusen,C9127298,Tiruchirappalli,Tamil Nadu,EMI,Delivered,1,1090,15.7,918.87,918.87,315.19,21.77,3,No,4,BharatSellers,Regular,App
OD3513766973,18-11-2024,P980832,Patanjali Staples SC39,Grocery,Staples,Patanjali,C7507707,Kolkata,West Bengal,UPI,Delivered,1,760,2.5,741,741,152.02,11.86,2,No,3,IndiaShop Direct,Regular,App
OD0842287431,04-11-2024,P804737,Godrej Interio Beds LV53,Furniture,Beds,Godrej Interio,C6874004,Allahabad,Uttar Pradesh,Cash on Delivery,Delivered,1,77172.01,50.8,37968.63,37968.63,7928.16,319.52,6,No,4,TrendSetters Online,Diwali Sale,App
OD9788714106,07-05-2023,P635939,Durian Beds ZI21,Furniture,Beds,Durian,C0891088,Srinagar,J&K,Debit Card,Delivered,1,35333.18,11.5,31269.86,31269.86,11526.25,265.24,5,No,4,TechZone Sellers,Weekend Sale,App
OD2175329237,04-10-2025,P368539,Solimo Furniture JW72,Home & Kitchen,Furniture Accessories,Solimo,C0597699,Jodhpur,Rajasthan,Cash on Delivery,Delivered,3,20041.43,35.2,12986.85,38960.55,7744.36,81.54,3,No,3,DigitalBazaar,Big Billion Days,App
OD6299239538,21-11-2023,P746410,Nivia Badminton VJ52,Sports,Badminton,Nivia,C7083970,Guwahati,Assam,Credit Card,Processing,5,12050,11.5,10664.25,53321.25,17095.47,78.84,3,No,,QuickMart Pvt Ltd,Regular,App
OD5911345251,08-07-2023,P297243,FabIndia Bedding MZ26,Home & Kitchen,Bedding,FabIndia,C8876792,Bareilly,Uttar Pradesh,Debit Card,Cancelled,1,14390,15.2,12202.72,12202.72,3426.57,66.74,4,No,,ValueMart Sellers,Weekend Sale,App
OD3982622939,06-10-2025,P601336,Rupa Self-Help UQ71,Books,Self-Help,Rupa,C1336499,Bareilly,Uttar Pradesh,Debit Card,Delivered,2,2092.95,59.5,847.64,1695.28,388.49,17.41,5,No,4,ValueMart Sellers,Big Billion Days,Desktop
OD1209944611,19-11-2025,P592018,Himalaya Makeup FO93,Beauty,Makeup,Himalaya,C1605724,Ranchi,Jharkhand,Cash on Delivery,Delivered,2,8847.81,4.8,8423.12,16846.24,8468.13,24.98,2,No,4,BestBuy India,Regular,App
OD7539742788,24-09-2025,P973273,Mamaearth Nail FZ33,Beauty,Nail Care,Mamaearth,C2894732,Solapur,Maharashtra,Credit Card,Processing,1,4791.04,14.2,4110.71,4110.71,2001.26,13.22,6,No,,IndiaShop Direct,Regular,App
OD4753253987,27-07-2025,P157263,Adidas Men's TL47,Fashion,Men's Clothing,Adidas,C7411193,Vadodara,Gujarat,Cash on Delivery,Cancelled,4,7820,15.1,6639.18,26556.72,10633.15,42.13,5,No,,DigitalBazaar,Weekend Sale,App
OD6336746299,22-01-2025,P889131,Cosco Cycling TT97,Sports,Cycling,Cosco,C8155482,Chandigarh,Punjab,UPI,Delivered,2,580,12.1,509.82,1019.64,189.43,79.97,6,No,2,FashionHub Pro,Regular,App
OD0185567716,22-10-2024,P122032,Rupa Non-Fiction IS47,Books,Non-Fiction,Rupa,C6640471,Dhanbad,Jharkhand,UPI,Delivered,2,850,47.5,446.25,892.5,198.35,11.96,4,No,5,TrendSetters Online,Diwali Sale,App
OD2586369338,01-05-2023,P694605,Lakme Men's PX79,Beauty,Men's Grooming,Lakme,C1403256,Mumbai,Maharashtra,EMI,Delivered,2,1160,14.5,991.8,1983.6,885.68,19.76,6,No,4,TechZone Sellers,Regular,App
OD9066757528,13-05-2024,P374445,Zara Men's IB69,Fashion,Men's Clothing,Zara,C6931024,Agra,Uttar Pradesh,Debit Card,Delivered,2,1566.07,1.6,1541.01,3082.02,1574.29,32.15,7,No,4,DigitalBazaar,Regular,App
OD4633621272,28-03-2024,P363568,Vector X Cycling HD49,Sports,Cycling,Vector X,C3328640,Ahmedabad,Gujarat,Debit Card,Delivered,2,11288.85,17.9,9268.15,18536.3,3508.5,95.64,4,No,2,EcomGuru Sellers,Regular,Mobile Web
OD9972905619,13-11-2023,P230172,L'Oreal Haircare GW93,Beauty,Haircare,L'Oreal,C7269159,Jaipur,Rajasthan,Cash on Delivery,Delivered,2,2890,10.6,2583.66,5167.32,1800.22,15.89,3,No,3,PrimeDeals India,Regular,App
OD7248821314,09-04-2025,P505216,Vector X Cycling NT37,Sports,Cycling,Vector X,C0831371,Vijayawada,Andhra Pradesh,UPI,Processing,2,19803.49,7.9,18239.01,36478.02,7353.05,43.98,2,No,,TechZone Sellers,Regular,App
OD7771166586,04-09-2024,P281084,Nilkamal Study HF63,Furniture,Study Tables,Nilkamal,C0061394,Kolkata,West Bengal,UPI,Returned,2,68072.96,20,54458.37,108916.74,29236.84,201.61,2,Yes,1,PrimeDeals India,Regular,App
OD2672306689,23-04-2023,P008370,Lakme Makeup IC54,Beauty,Makeup,Lakme,C5373419,Indore,Madhya Pradesh,UPI,Delivered,1,5282.82,21.1,4168.14,4168.14,2028.71,29.62,5,No,5,EcomGuru Sellers,Weekend Sale,App
OD3381907135,21-10-2023,P172870,Himalaya Haircare HB83,Beauty,Haircare,Himalaya,C3992259,Kota,Rajasthan,EMI,Delivered,1,5315.56,37.7,3311.59,3311.59,1373.88,24.52,6,No,5,FashionHub Pro,Diwali Sale,Desktop
OD0308201256,26-02-2025,P539575,HarperCollins Non-Fiction WB59,Books,Non-Fiction,HarperCollins,C7427401,Ahmedabad,Gujarat,UPI,Cancelled,2,167.52,1.8,164.5,329,88.6,55.19,6,No,,TechZone Sellers,Regular,Desktop
OD3095664818,15-04-2023,P024890,Nirlep Storage TC62,Home & Kitchen,Storage,Nirlep,C6756868,Indore,Madhya Pradesh,Cash on Delivery,Processing,3,24010,15.4,20312.46,60937.38,8631.8,59.02,4,No,,BestBuy India,Weekend Sale,App
OD4037096702,11-09-2025,P057554,Biotique Men's QI20,Beauty,Men's Grooming,Biotique,C8644023,Hyderabad,Telangana,Debit Card,Delivered,4,1850,4.7,1763.05,7052.2,2259.54,30.19,6,No,4,BestBuy India,Regular,App
OD6452367697,03-09-2024,P635897,Britannia Health GE32,Grocery,Health Foods,Britannia,C9106096,Bhopal,Madhya Pradesh,UPI,Delivered,1,1120.22,4.6,1068.69,1068.69,114.91,13.42,5,No,5,FashionHub Pro,Regular,App
OD9951854844,15-08-2024,P580067,ITC Snacks WT86,Grocery,Snacks,ITC,C2537543,Amritsar,Punjab,Cash on Delivery,Cancelled,1,1470,18.9,1192.17,1192.17,137.86,19.72,6,No,,HomeEssentials India,Independence Day Sale,Desktop
OD0034660586,17-11-2024,P314473,WOW Fragrances LO83,Beauty,Fragrances,WOW,C4046156,Visakhapatnam,Andhra Pradesh,EMI,Delivered,4,2460,14.6,2100.84,8403.36,4640.97,54.95,4,No,2,MegaStore Online,Weekend Sale,App
OD6355978968,13-08-2025,P528666,Reebok Fitness GV11,Sports,Fitness Equipment,Reebok,C0227257,Hyderabad,Telangana,UPI,Processing,2,22310,15.1,18941.19,37882.38,8371.83,67.36,3,No,,PrimeDeals India,Independence Day Sale,App
OD2484915794,02-03-2024,P459712,Nike Accessories HY17,Fashion,Accessories,Nike,C3319342,Madurai,Tamil Nadu,Credit Card,Delivered,1,7750,8.3,7106.75,7106.75,1959.21,31.1,5,No,4,TrendSetters Online,Weekend Sale,App
OD1290475569,18-02-2025,P825696,WOW Fragrances SM33,Beauty,Fragrances,WOW,C9886333,Chennai,Tamil Nadu,Net Banking,Delivered,2,2635.09,11.8,2324.15,4648.3,1795.62,23.56,3,No,5,MegaStore Online,Regular,App
OD1448500601,29-10-2024,P766874,Godrej Baby HA52,Grocery,Baby Care,Godrej,C6489847,Ranchi,Jharkhand,Cash on Delivery,Delivered,5,439.25,47.2,231.92,1159.6,85.91,22.71,7,No,3,TrendSetters Online,Diwali Sale,App
OD2743935865,23-11-2023,P357406,Cello Bedding YW91,Home & Kitchen,Bedding,Cello,C0180209,Amritsar,Punjab,Cash on Delivery,Delivered,1,10399.97,11.5,9203.97,9203.97,2095.27,72.18,4,No,4,RetailNet India,Regular,App
OD8556070375,04-10-2025,P830193,Arihant Academic MB80,Books,Academic,Arihant,C5792306,Vadodara,Gujarat,EMI,Delivered,2,1625.57,54.6,738.01,1476.02,336.73,22.02,6,No,4,MegaStore Online,Big Billion Days,App
OD3088677177,13-07-2025,P249568,Pepperfry Study JA55,Furniture,Study Tables,Pepperfry,C6395727,Visakhapatnam,Andhra Pradesh,UPI,Cancelled,1,61950,10,55755,55755,16077.84,100.17,5,No,,HomeEssentials India,Weekend Sale,App
OD7597760904,25-01-2025,P834242,Disha Non-Fiction BT95,Books,Non-Fiction,Disha,C4050794,Jodhpur,Rajasthan,EMI,Delivered,2,480,11.9,422.88,845.76,269.11,14.49,6,No,5,Shopify Traders,Republic Day Sale,Desktop
OD3879139010,10-09-2025,P579916,Boat TV VX17,Electronics,TV & Monitors,Boat,C9521811,Aurangabad,Maharashtra,Cash on Delivery,Delivered,3,42805.96,12.5,37455.22,112365.66,18000.29,97.89,4,No,4,DigitalBazaar,Regular,App
OD3224076248,30-09-2025,P432326,L'Oreal Makeup QE76,Beauty,Makeup,L'Oreal,C3185650,Chennai,Tamil Nadu,Credit Card,Delivered,1,5720,14.9,4867.72,4867.72,2416.41,21.87,4,No,4,MegaStore Online,Regular,App
OD1285186827,24-03-2025,P587602,Urban Ladder Study WP12,Furniture,Study Tables,Urban Ladder,C2591781,Mysuru,Karnataka,Debit Card,Delivered,1,54920,30.3,38279.24,38279.24,11366.05,168.22,5,No,3,QuickMart Pvt Ltd,Holi Sale,App
OD5584079352,25-08-2025,P706998,Rupa Children's SF39,Books,Children's,Rupa,C4526095,Faridabad,Haryana,UPI,Delivered,2,328.47,2.6,319.93,639.86,203.57,22.2,4,No,5,Shopify Traders,Regular,App
OD4030209126,15-03-2025,P953697,Maybelline Nail NH99,Beauty,Nail Care,Maybelline,C3726767,Jalandhar,Punjab,Credit Card,Delivered,2,2068.63,17.4,1708.69,3417.38,1129.45,15.7,4,No,4,QuickMart Pvt Ltd,Weekend Sale,Mobile Web
OD8899683084,21-02-2025,P831067,WOW Nail WW58,Beauty,Nail Care,WOW,C8059471,Patna,Bihar,UPI,Delivered,2,7473.3,10.3,6703.55,13407.1,6227.42,34.42,4,No,5,TrendSetters Online,Regular,App
OD0532864669,21-12-2024,P459712,Nike Accessories HY17,Fashion,Accessories,Nike,C5002014,Bareilly,Uttar Pradesh,Debit Card,Delivered,2,7750,5.1,7354.75,14709.5,7106.57,18.88,5,No,2,HomeEssentials India,Weekend Sale,App
OD7531638792,14-05-2025,P938491,Penguin Fiction TW11,Books,Fiction,Penguin,C9725815,Vijayawada,Andhra Pradesh,Net Banking,Processing,1,1430.2,3.9,1374.42,1374.42,294.36,13.26,6,No,,DigitalBazaar,Regular,App
OD7765057260,15-08-2023,P758944,Adidas Men's KH79,Fashion,Men's Clothing,Adidas,C3382803,Jaipur,Rajasthan,Cash on Delivery,Delivered,1,2451.97,26.9,1792.39,1792.39,697.54,31.55,4,No,5,RetailNet India,Independence Day Sale,Desktop
OD3335398177,04-10-2025,P237088,Westland Academic BX82,Books,Academic,Westland,C0320429,Aligarh,Uttar Pradesh,EMI,Delivered,1,947.6,31.2,651.95,651.95,181.99,10.28,7,No,4,IndiaShop Direct,Big Billion Days,App
OD3263739245,02-10-2025,P914739,Scholastic Children's WI95,Books,Children's,Scholastic,C8576071,Vijayawada,Andhra Pradesh,EMI,Delivered,1,390,50.6,192.66,192.66,30.94,44.27,5,No,4,DigitalBazaar,Big Billion Days,App
OD7977849798,09-02-2023,P058657,H&M Accessories JP19,Fashion,Accessories,H&M,C5236541,Vadodara,Gujarat,UPI,Delivered,3,2270,0.1,2267.73,6803.19,2383.31,21.02,5,No,3,TrendSetters Online,Regular,App
OD2540007806,14-08-2025,P937606,Cello Bedding IO59,Home & Kitchen,Bedding,Cello,C7177540,Guwahati,Assam,Cash on Delivery,Returned,1,8500,43.1,4836.5,4836.5,585.31,43.68,4,Yes,2,MegaStore Online,Independence Day Sale,App
OD8631266352,07-07-2023,P652307,HarperCollins Fiction PR11,Books,Fiction,HarperCollins,C9214095,Pune,Maharashtra,UPI,Delivered,1,430,1.5,423.55,423.55,103.75,34.44,3,No,4,RetailNet India,Regular,App
OD1865665122,12-02-2024,P237088,Westland Academic BX82,Books,Academic,Westland,C3454523,Jabalpur,Madhya Pradesh,Cash on Delivery,Delivered,1,776.24,27.5,562.77,562.77,108.83,12.73,5,No,4,BharatSellers,Valentine's Week,App
OD3365474499,03-05-2025,P318442,Dabur Staples EE54,Grocery,Staples,Dabur,C7763625,Howrah,West Bengal,Cash on Delivery,Delivered,1,1060,6,996.4,996.4,95.58,18.59,3,No,3,DigitalBazaar,Weekend Sale,App
OD7888723436,16-08-2023,P174026,L'Oreal Men's DD51,Beauty,Men's Grooming,L'Oreal,C9415673,Tiruchirappalli,Tamil Nadu,Cash on Delivery,Delivered,3,4017.69,15.1,3411.02,10233.06,4018.15,42.54,5,No,1,RetailNet India,Independence Day Sale,App
OD9784256475,07-08-2025,P782628,Solimo Décor WQ11,Home & Kitchen,Décor,Solimo,C2230078,Tiruchirappalli,Tamil Nadu,Credit Card,Delivered,2,19915.29,15.6,16808.5,33617,4680.48,47.09,3,No,4,RetailNet India,Regular,App
OD5467353961,19-08-2025,P693632,Nykaa Fragrances LG51,Beauty,Fragrances,Nykaa,C1327878,Agra,Uttar Pradesh,UPI,Delivered,1,4540,15.9,3818.14,3818.14,1490.77,27.1,5,No,4,RetailNet India,Regular,App
OD0145655274,19-09-2024,P499218,Mamaearth Fragrances ZC85,Beauty,Fragrances,Mamaearth,C0194009,Meerut,Uttar Pradesh,Cash on Delivery,Returned,1,4330,17.8,3559.26,3559.26,1178.82,20.74,4,Yes,2,TechZone Sellers,Regular,App
OD4096022917,06-01-2023,P171322,Sleepwell Study TV82,Furniture,Study Tables,Sleepwell,C5702241,Ahmedabad,Gujarat,UPI,Delivered,2,67429.07,30.1,47132.92,94265.84,19085.56,228.38,5,No,4,Shopify Traders,New Year Sale,App
OD6966999331,23-12-2023,P960749,Fingerprint Non-Fiction JM65,Books,Non-Fiction,Fingerprint,C1663158,Madurai,Tamil Nadu,Cash on Delivery,Delivered,1,940,23.7,717.22,717.22,202.03,14.19,2,No,3,TechZone Sellers,Weekend Sale,App
OD5806978007,19-12-2024,P031901,Peter England Women's DD36,Fashion,Women's Clothing,Peter England,C7883381,Bhopal,Madhya Pradesh,UPI,Returned,1,1160,9.5,1049.8,1049.8,390.24,22.43,8,Yes,2,IndiaShop Direct,Regular,App
OD3873452329,19-12-2025,P266293,SG Yoga AE38,Sports,Yoga,SG,C7362780,Jalandhar,Punjab,Cash on Delivery,Delivered,1,24720,1.9,24250.32,24250.32,5489.79,46.61,3,No,4,DigitalBazaar,Regular,App
OD3786954570,31-12-2024,P825533,Reebok Fitness IE75,Sports,Fitness Equipment,Reebok,C6582276,Kanpur,Uttar Pradesh,Cash on Delivery,Delivered,3,13724.39,30.3,9565.9,28697.7,7923.48,53.98,3,No,4,DigitalBazaar,Christmas & New Year,App
OD7656384411,13-11-2023,P186706,Wakefit Beds RN47,Furniture,Beds,Wakefit,C3406685,Pune,Maharashtra,Flipkart Pay Later,Cancelled,1,35833.45,7.2,33253.44,33253.44,12872.57,146.77,5,No,,Shopify Traders,Regular,App
OD5850899681,01-01-2025,P455045,Dabur Health KP36,Grocery,Health Foods,Dabur,C4608533,Howrah,West Bengal,Flipkart Pay Later,Delivered,4,870,23.4,666.42,2665.68,305.55,40.99,4,No,4,HomeEssentials India,New Year Sale,Mobile Web
OD6838317529,15-10-2024,P978131,Rupa Self-Help VK39,Books,Self-Help,Rupa,C6286441,Ranchi,Jharkhand,Cash on Delivery,Delivered,5,380,5,361,1805,662.87,30.43,5,No,3,Shopify Traders,Regular,Mobile Web
OD7330485615,21-06-2025,P967722,Oxford Academic UX34,Books,Academic,Oxford,C5850884,Nagpur,Maharashtra,UPI,Processing,1,1280.41,14.2,1098.59,1098.59,252.25,9.94,5,No,,ValueMart Sellers,Weekend Sale,App
OD7731820514,30-05-2023,P456478,Van Heusen Footwear WV76,Fashion,Footwear,Van Heusen,C6040310,Dhanbad,Jharkhand,Cash on Delivery,Delivered,2,2690.74,10.8,2400.14,4800.28,2181.35,39.43,2,No,3,MegaStore Online,Regular,App
OD5552637447,24-05-2025,P983702,Mamaearth Nail DL98,Beauty,Nail Care,Mamaearth,C3292185,Meerut,Uttar Pradesh,EMI,Delivered,1,3530,9.8,3184.06,3184.06,976.4,19.32,6,No,4,PrimeDeals India,Weekend Sale,App
OD5416577232,16-10-2024,P005323,Spalding Cycling OV89,Sports,Cycling,Spalding,C8911290,Mysuru,Karnataka,Cash on Delivery,Delivered,1,13670,13.2,11865.56,11865.56,4099.2,67.52,2,No,4,BharatSellers,Regular,App
OD3626745990,27-11-2025,P448644,Solimo Kitchen ED17,Home & Kitchen,Kitchen Appliances,Solimo,C5343492,Aurangabad,Maharashtra,UPI,Processing,1,31971.32,2.3,31235.98,31235.98,11187.2,41.48,7,No,,IndiaShop Direct,Regular,App
OD8831453983,21-02-2024,P305287,Arihant Comics PT99,Books,Comics,Arihant,C5139180,Nashik,Maharashtra,Cash on Delivery,Delivered,1,751.24,15.9,631.79,631.79,165.92,10.15,6,No,5,FashionHub Pro,Regular,App
OD0497693081,31-12-2024,P589153,Apple Headphones QE27,Electronics,Headphones,Apple,C3757624,Hyderabad,Telangana,UPI,Delivered,3,49825.11,37.9,30941.39,92824.17,9379.03,85.23,3,No,5,ValueMart Sellers,Christmas & New Year,App
OD0983603192,31-10-2025,P714645,Urban Ladder Wardrobes BX78,Furniture,Wardrobes,Urban Ladder,C2520549,Mumbai,Maharashtra,UPI,Delivered,2,15024.1,34.6,9825.76,19651.52,4692.88,381.92,2,No,5,BharatSellers,Diwali Sale,App
OD2517369657,23-05-2023,P142210,Westland Fiction YR37,Books,Fiction,Westland,C4802097,Agra,Uttar Pradesh,Cash on Delivery,Cancelled,3,237.53,16.3,198.81,596.43,181.16,15.12,4,No,,FashionHub Pro,Regular,App
OD0252954842,02-11-2025,P721527,L'Oreal Fragrances ZG64,Beauty,Fragrances,L'Oreal,C3807693,Delhi,Delhi,Cash on Delivery,Delivered,4,6999.45,29.1,4962.61,19850.44,8878.96,36.72,5,No,3,TrendSetters Online,Diwali Sale,App
OD3668655015,04-03-2025,P263254,Plum Fragrances UJ50,Beauty,Fragrances,Plum,C0965466,Bhopal,Madhya Pradesh,Credit Card,Delivered,1,1800,17.4,1486.8,1486.8,773.27,17.23,7,No,4,EcomGuru Sellers,Regular,App
OD8563343449,03-04-2023,P130205,ITC Baby XE53,Grocery,Baby Care,ITC,C2067125,Bareilly,Uttar Pradesh,Credit Card,Delivered,2,1210,13.3,1049.07,2098.14,254.99,29.48,5,No,5,HomeEssentials India,Regular,App
OD2867287330,01-01-2024,P943007,L'Oreal Nail EB46,Beauty,Nail Care,L'Oreal,C8005933,Agra,Uttar Pradesh,Credit Card,Delivered,2,4994.98,37,3146.84,6293.68,1883.13,18.43,4,No,5,IndiaShop Direct,New Year Sale,App
OD9810395612,24-03-2025,P100452,H&M Women's SS68,Fashion,Women's Clothing,H&M,C6780823,Hyderabad,Telangana,Flipkart Pay Later,Returned,1,2080,23.9,1582.88,1582.88,411.12,16.27,5,Yes,2,TechZone Sellers,Holi Sale,App
OD5421467355,02-04-2023,P551245,Biotique Men's MS67,Beauty,Men's Grooming,Biotique,C2323952,Aligarh,Uttar Pradesh,UPI,Delivered,1,1485.4,15.3,1258.13,1258.13,595.76,13.91,2,No,5,MegaStore Online,Weekend Sale,App
OD9575945486,05-11-2024,P550753,Oxford Academic DD81,Books,Academic,Oxford,C4656860,Pune,Maharashtra,Credit Card,Delivered,3,532.69,54,245.04,735.12,193.23,25.7,4,No,5,MegaStore Online,Diwali Sale,App
OD9216173898,27-02-2024,P775998,Adidas Accessories FF49,Fashion,Accessories,Adidas,C4994627,Indore,Madhya Pradesh,Cash on Delivery,Delivered,1,4744.55,12.5,4151.48,4151.48,2085.41,30.5,6,No,5,TrendSetters Online,Regular,App
OD8563277871,24-12-2024,P099404,Plum Fragrances GA57,Beauty,Fragrances,Plum,C2307286,Nagpur,Maharashtra,UPI,Delivered,3,1399.21,23.3,1073.19,3219.57,1098.78,26.84,4,No,4,FashionHub Pro,Christmas & New Year,Mobile Web
OD2804068934,07-03-2023,P902573,Prestige Storage LY33,Home & Kitchen,Storage,Prestige,C9548094,Meerut,Uttar Pradesh,Flipkart Pay Later,Delivered,1,14540.44,13,12650.18,12650.18,3539.68,33.5,2,No,1,BharatSellers,Regular,App
OD4620409003,02-10-2025,P953697,Maybelline Nail NH99,Beauty,Nail Care,Maybelline,C5418802,Ludhiana,Punjab,EMI,Delivered,1,1983.29,21.3,1560.85,1560.85,616.39,21.49,4,No,3,BharatSellers,Big Billion Days,App
OD8866347565,10-12-2025,P387508,Prestige Furniture VQ36,Home & Kitchen,Furniture Accessories,Prestige,C5196926,Bengaluru,Karnataka,Net Banking,Cancelled,5,13570,2.7,13203.61,66018.05,20486.97,164.64,7,No,,PrimeDeals India,Regular,App
OD2422708234,04-12-2025,P434392,Arihant Self-Help DP88,Books,Self-Help,Arihant,C9033186,Solapur,Maharashtra,UPI,Delivered,1,720,18.7,585.36,585.36,135.21,16.4,2,No,2,BharatSellers,Regular,App
OD4601528371,11-05-2025,P816858,Li-Ning Badminton IT80,Sports,Badminton,Li-Ning,C1576761,Srinagar,J&K,Flipkart Pay Later,Cancelled,1,16570,21.5,13007.45,13007.45,3293.87,23.96,5,No,,QuickMart Pvt Ltd,Weekend Sale,Desktop
OD6948623798,08-07-2023,P469366,H&M Innerwear MS93,Fashion,Innerwear,H&M,C4906472,Lucknow,Uttar Pradesh,Debit Card,Returned,1,4937.13,6.5,4616.22,4616.22,1241.79,17.78,1,Yes,4,DigitalBazaar,Weekend Sale,App
OD1260494518,21-05-2025,P937496,Peter England Women's KY38,Fashion,Women's Clothing,Peter England,C1281748,Delhi,Delhi,UPI,Delivered,1,4651.75,6,4372.64,4372.64,2196.84,31.89,3,No,3,BharatSellers,Regular,App
OD4209427837,31-01-2023,P401332,Stanley Wardrobes AE76,Furniture,Wardrobes,Stanley,C0202204,Howrah,West Bengal,EMI,Delivered,1,77818.73,3.1,75406.35,75406.35,25800.66,278.31,3,No,1,MegaStore Online,Regular,App
OD5131552697,28-01-2023,P873043,Fingerprint Fiction UT41,Books,Fiction,Fingerprint,C9507392,Mysuru,Karnataka,Debit Card,Delivered,2,514.56,9.1,467.74,935.48,262.04,23.14,4,No,2,RetailNet India,Weekend Sale,App
